,lam_2
0.23025,0.6630800627314685
0.231,0.632485405143925
0.23175,0.6576393688384823
0.2325,0.656943172169217
0.23325,0.6493613971992149
0.234,0.6610586562253117
0.23475000000000001,0.7051376044914437
0.23550000000000001,0.6731477551741841
0.23625000000000002,0.6706881933789324
0.23700000000000002,0.6856833483506456
0.23775000000000002,0.6864858597972197
0.23850000000000002,0.6862398486012931
0.23925000000000002,0.6798856119865093
0.24,0.6873062292380449
0.24075,0.647053166944523
0.2415,0.66808708700129
0.24225,0.6571192076293891
0.243,0.6635864075692499
0.24375,0.681598951097051
0.2445,0.6440828802742088
0.24525,0.6551747551369242
0.246,0.6491932349344878
0.24675,0.6526852961052065
0.2475,0.6655136459619004
0.24825,0.6359102578284599
0.249,0.6784420935993928
0.24975,0.6717794813007085
0.2505,0.6499273564790983
0.25125000000000003,0.6590642510747367
0.252,0.631267365782725
0.25275000000000003,0.6664314639288317
0.2535,0.6348313796338921
0.25425000000000003,0.6273453402623385
0.255,0.6214755892744931
0.25575000000000003,0.6369684720920464
0.2565,0.6112865353309059
0.25725,0.6628083497751788
0.258,0.6590065296149284
0.25875,0.6676394845789183
0.2595,0.6670705765974011
0.26025,0.652758022058048
0.261,0.6503077127606124
0.26175,0.637406761979263
0.2625,0.6473508300284011
0.26325,0.6498092284998419
0.264,0.6271214445408446
0.26475,0.6459299157627671
0.2655,0.6121413037997243
0.26625,0.676471974592281
0.267,0.6583772658442325
0.26775,0.6979163393877094
0.2685,0.7022858083298844
0.26925,0.6970872298434865
0.27,0.6704677318371359
0.27075,0.6452908580665341
0.2715,0.666435012806371
0.27225,0.683709052413901
0.273,0.6556067539180231
0.27375,0.6490566179464045
0.2745,0.6981144080017898
0.27525,0.6482981313835954
0.276,0.6474829731157068
0.27675,0.640810456449336
0.2775,0.6552133001721875
0.27825,0.6466628454791936
0.279,0.6552772456591498
0.27975,0.6647582394389484
0.2805,0.6982747179718888
0.28125,0.6728616598993474
0.28200000000000003,0.669697434958202
0.28275,0.717638097389113
0.28350000000000003,0.6829117312067436
0.28425,0.7081860069479463
0.28500000000000003,0.7333388869749707
0.28575,0.7394315268475571
0.28650000000000003,0.7625492616926249
0.28725,0.7571609263170334
0.28800000000000003,0.7582307472421416
0.28875,0.7481431287322806
0.2895,0.7432952275600625
0.29025,0.7588682192386573
0.291,0.7502121540263503
0.29175,0.7351341482104935
0.2925,0.7127703660990613
0.29325,0.7284680460053887
0.294,0.694101368797076
0.29475,0.6941108668973437
0.2955,0.7201438236459441
0.29625,0.7006355191364579
0.297,0.7286360224346573
0.29775,0.7335500048070435
0.2985,0.7404619695598937
0.29925,0.7335932594138689
0.3,0.7198599494283231
0.30075,0.7389611775069326
0.3015,0.7302963353117856
0.30225,0.7051805856179953
0.303,0.7091342689386742
0.30375,0.6808824109061039
0.3045,0.6582797765485245
0.30525,0.6671178976111923
0.306,0.7060731583581541
0.30675,0.6930780504039286
0.3075,0.6877624683771176
0.30825,0.6539795674416903
0.309,0.6401752885778081
0.30975,0.6426532444897156
0.3105,0.6389175949663923
0.31125,0.6803366330542652
0.312,0.6638824742029202
